t; temp1; temp2
6901;11,43;11,13
12923;11,43;11,13
18947;11,28;11,13
24970;11,13;11,28
30993;11,43;11,13
37015;11,28;11,13
43038;11,13;11,13
49061;11,43;11,28
55085;11,28;11,13
61108;11,43;11,13
67130;11,58;11,13
