t; temp1; temp2
12566;11,13;11,28
18589;11,28;11,13
24612;11,28;11,13
30636;11,43;11,28
36659;11,28;11,13
42682;11,43;11,28
48705;11,43;11,13
54735;11,43;10,97
60759;11,43;11,28
