t; temp1; temp2
6410;11,43;11,13
12436;11,28;11,28
18462;11,43;11,28
24489;11,43;11,28
30516;11,43;11,13
36542;11,28;11,13
42569;11,28;11,13
48595;11,13;11,28
54667;11,43;11,13
60690;11,28;11,28
66713;11,28;11,28
72736;11,43;11,28
78759;11,43;10,97
84790;11,58;11,43
90813;11,28;11,13
96835;11,43;11,13
102858;11,43;11,28
108881;11,43;11,13
114905;11,43;11,13
120928;11,43;11,28
126951;11,43;11,13
132974;11,13;11,28
138996;11,43;11,28
145019;11,43;11,28
151043;11,43;11,28
157066;11,13;11,28
163089;11,13;11,28
169112;11,28;11,13
175141;11,28;11,13
181165;11,28;11,13
187188;11,28;11,28
193211;11,43;11,28
199234;11,13;11,28
205257;11,43;11,13
211280;11,43;11,13
217303;11,28;11,13
223326;11,43;11,28
229349;11,43;11,13
235372;11,43;11,13
241401;11,43;11,28
247425;11,28;11,28
253448;11,43;11,28
259471;11,43;11,13
265494;11,58;11,28
271517;11,28;11,13
277539;11,43;11,13
283563;11,43;11,13
289586;11,28;11,28
295609;11,28;11,28
301632;11,13;11,13
