t; temp1; temp2
60299;9,75;10,21
120341;9,75;10,21
180383;9,75;10,21
240425;9,60;10,21
300467;9,45;10,21
360509;9,60;10,21
420551;9,75;10,21
480593;9,60;10,21
540635;9,75;10,06
600677;9,60;10,21
660719;9,75;10,21
720761;9,75;10,21
