25577;11,74;11,28
38430;11,74;11,28
51283;11,74;11,43
64137;12,04;11,43
6306;11,89;11,28
12632;11,89;11,28
25577;11,74;11,28
38430;11,74;11,28
51283;11,74;11,43
25577;11,74;11,28
38430;11,74;11,28
51283;11,74;11,43
25577;11,74;11,28
38430;11,74;11,28
51283;11,74;11,43
153754;11,43;11,13
166600;11,43;11,13
147331;11,43;11,13
160177;11,43;11,13
173024;11,43;11,13
185870;11,58;10,97
198716;11,43;11,13
211566;11,13;11,13
224419;11,28;10,97
237274;11,28;11,13
250127;11,43;11,13
269407;11,28;10,97
282260;11,58;11,28
295113;11,43;11,13
t,tk_1,tk_2
6141,9.60,10.21
12176,9.60,10.21
18211,9.60,10.21
24247,9.75,10.21
